UID,Name,CID,Source
1,Tony Stark “Iron Man”,1,"['MCU: The Heroes','avengers endgame(2019)']"
1,Tony Stark “Iron Man”,2,"['Marvel Comics', 'earth 616'] "
1,Tony Stark “Iron Man”,3,"['What If...? SS1 Ep 6','What If... Killmonger Rescued Tony Stark?']"
2,"Peter Parker ""Spider-Man""",4,"['MCU: The Heroes', 'spider man no way home (2021)']"
2,"Peter Parker ""Spider-Man""",5,"['MCU: The Heroes','The Amazing Spider-Man 2 (2014)']"
2,"Peter Parker ""Spider-Man""",6,"['MCU: The Heroes','spider man (2007)']"
3,"Steve Rogers ""Captain America""",7,"['MCU: The Heroes', 'avengers endgame (2019)']"
3,Steve Rogers “Captain America”,8,"['Marvel Comics','earth 616']"
3,Steve Rogers “Captain America”,9,"['Animated Series','X-Men(1993): The Animated Series S2E04']"
4,"Thor Odinson ""Thor""",10,"['MCU: The Heroes','thor love and thunder(2022)']"
4,"Thor Odinson ""Thor""",11,"['Marvel Comics','earth 616']"
4,"Thor Odinson ""Thor""",12,"['What If...? SS1 Ep 7','What If... Thor Were an Only Child?']"
5,"Dr.Robert Bruce Banner ""Hulk""",13,"['MCU: The Heroes','she hulk(2022)']"
5,"Dr.Robert Bruce Banner ""Hulk""",14,"['Marvel Comics', 'earth 616']"
5,"Dr.Robert Bruce Banner ""Hulk""",15,"['Universal Pictures','Hulk (2003)']"
6,"Matt Murdock ""Daredevil""",16,"['Marvel TV series','Daredevil (2018)']"
6,"Matt Murdock ""Daredevil""",17,"['Marvel Comics', 'earth 616']"
6,"Matt Murdock ""Daredevil""",18,"['20th Century Fox','Daredevil (2003)']"
7,"Peter Quill ""Star-Lord""",19,"['MCU: The Heroes', 'guardians of the galaxy (2023)']"
7,Peter Quill “Star-Lord”,20,"['Marvel Comics', 'earth 616']"
7,Peter Quill “Star-Lord”,21,"['marvel game','Marvel's Guardians of the Galaxy (2021)']"
8,Natasha Romanoff “Black Widow”,22,"['Marvel Comics','earth 616']"
8,"Natasha Romanoff ""Black Widow""",23,"['MCU: The Heroes','Black Widow (2021)']"
8,"Natasha Romanoff ""Black Widow""",24,"['What If...? SS1 Ep 3','What If... The World Lost Its Mightiest Heroes?']"
9,"Stephen Strange ""Doctor Strange""",25,"['MCU: The Heroes','Doctor Strange in the Multiverse of Madness (2022)']"
9,Stephen Strange “Doctor Strange”,26,"['Marvel Comics','earth 616']"
9,Steven Strange  “Doctor Strange” ,27,"['Universal Television','Dr. Strange (1978)']"
10,Clint Barton “Hawkeye”,28,"['MCU: The Heroes','Marvel Cinematic Universe television series','Hawkeye (2021)']"
10,Clint Barton “Hawkeye”,29,"['Marvel Comics','earth 616']"
10,"Clint Barton ""Hawkeye""",30,"['What If...? SS1 Ep 3','What If... The World Lost Its Mightiest Heroes?']"
11,King T’Challa “Black Panther”,31,"['MCU: The Heroes', 'Black Panther (2018)']"
11,T’Challa “Black Panther”,32,"['Marvel Comics', 'earth 616']"
11,"T'Challa ""Black Panther""",33,"['What If...? SS1 Ep 2','What If... T'Challa Became a Star-Lord?']"
12,"Scott Lang ""Ant-Man""",34,"['Marvel Comics','earth 616']"
12,"Scott Lang ""Ant-Man""",35,"['MCU: The Heroes','Ant-Man and the Wasp: Quantumania(2023)']"
12,Scott Lang “Ant-Man”,36,"['What If...?  SS 2 Episode 8','What If... The Avengers Assembled in 1602?']"
13,"Johnny Storm ""Human Torch""",37,"['MCU: The Heroes','Deadpool & Wolverine (2024)']"
13,"Johnny Storm ""Human Torch""",38,"['Marvel Comics', 'earth 616']"
13,"Johnny Storm  ""Human Torch""",39,"['20th Century Fox','Fantastic Four (2015)']"
14,Rocket Raccoon,40,"['MCU: The Heroes','guardians of the galaxy (2023)']"
14,Rocket Raccoon,41,"['Marvel Comics', 'earth 616']"
14,Rocket Raccoon,42,"['Marvel Animated Universe','The Avengers: Earth's Mightiest Heroes (2010)']"
15,Sam Wilson “Captain America”,43,"['MCU: The Heroes','Captain America: Brave New World (2025)']"
15,"Sam Wilson ""Captain America""",44,"['Marvel Comics', 'earth 616']"
15,"Samuel Wilson ""falcon""",45,"['Marvel Comics', 'earth 1610']"
16,"Kal-El ""Superman""",46,"['DC Comics', 'Mainstream Universe', '1986-present']"
16,Clark Kent “Superman”,47,"['DC Extended Universe', 'justice league snyder cut (2017)']"
16,"ClarkKent ""Superman""",48,"['DC Animated Universe (Timmverse/Deniverse)','Justice League (2001)']"
17,"Bruce Wayne ""Batman""",49,"['DC Extended Universe', 'The Flash (2023)','justice league snyder cut (2017)']"
17,"Bruce Wayne ""Batman""",50,"['DC Extended Universe','The Dark Knight Trilogy (2005)']"
17,Bruce Wayne “Batman”,51,"['DC Extended Universe','The Batman  (2022)']"
