UID,Name,CID,Source,Attributes
1,Tony Stark “Iron Man”,1,"['MCU: The Heroes','avengers endgame(2019)']","Age:53,
Power:Powered armor suit,
Mbti:ENTP,
Race:Human,
Enneagram:7w8"
1,Tony Stark “Iron Man”,2,"['Marvel Comics', 'earth 616'] ","Age:Mid-30s,
Power:Powered armor suit,
Mbti:ENTP,
Race:Human,
Enneagram:7w8"
1,Tony Stark “Iron Man”,3,"['What If...? SS1 Ep 6','What If... Killmonger Rescued Tony Stark?']","Age:39,
Power:-,
Mbti:ENTP,
Race:Human,
Enneagram:7w8"
2,"Peter Parker ""Spider-Man""",4,"['MCU: The Heroes', 'spider man no way home (2021)']","Age:17,
Power:Spider power,
Mbti:ENFP,
Race:Human,
Enneagram:6w7"
2,"Peter Parker ""Spider-Man""",5,"['MCU: The Heroes','The Amazing Spider-Man 2 (2014)']","Age:18,
Power:Spider power,
Mbti:ISTP,
Race:Human,
Enneagram:5w4"
2,"Peter Parker ""Spider-Man""",6,"['MCU: The Heroes','spider man (2007)']","Age:23,
Power:Spider power,
Mbti:INFP,
Race:Human,
Enneagram:9w1"
3,"Steve Rogers ""Captain America""",7,"['MCU: The Heroes', 'avengers endgame (2019)']","Age:90s,
Power:Super-soldier serum,
Mbti:ISFJ,
Race:Human,
Enneagram:1w2"
3,Steve Rogers “Captain America”,8,"['Marvel Comics','earth 616']","Age:107,
Power:Super-soldier serum,
Mbti:ISFJ,
Race:Human,
Enneagram:1w2"
3,Steve Rogers “Captain America”,9,"['Animated Series','X-Men(1993): The Animated Series S2E04']","Age:71,
Power:Super-soldier serum,
Mbti:ISFJ,
Race:Human,
Enneagram:1w2"
4,"Thor Odinson ""Thor""",10,"['MCU: The Heroes','thor love and thunder(2022)']","Age:around 1,500 ,
Power:Thunder god,
Mbti:ESTP,
Race:Asgardians,
Enneagram:7w8"
4,"Thor Odinson ""Thor""",11,"['Marvel Comics','earth 616']","Age:around 4,000,
Power:Thunder god,
Mbti:ESTP,
Race:Asgardians,
Enneagram:3w4"
4,"Thor Odinson ""Thor""",12,"['What If...? SS1 Ep 7','What If... Thor Were an Only Child?']","Age:around 1,500,
Power:Thunder god,
Mbti:ESFP,
Race:Asgardians,
Enneagram:7w8"
5,"Dr.Robert Bruce Banner ""Hulk""",13,"['MCU: The Heroes','she hulk(2022)']","Age:52,
Power:Gamma rays, 
Mbti:ISFP,
Race:Mutant human, 
Enneagram:8w7"
5,"Dr.Robert Bruce Banner ""Hulk""",14,"['Marvel Comics', 'earth 616']","Age:Mid-40s,
Power:Gamma rays, 
Mbti:INTP,
Race:Mutant human, 
Enneagram:5w4"
5,"Dr.Robert Bruce Banner ""Hulk""",15,"['Universal Pictures','Hulk (2003)']","Age:34,
Power:Gamma rays, 
Mbti:INTP,
Race:Mutant human, 
Enneagram:5w6"
6,"Matt Murdock ""Daredevil""",16,"['Marvel TV series','Daredevil (2018)']","Age:32,
Power: Heightened senses,
Mbti:INFJ,
Race:Human,
Enneagram:1w2"
6,"Matt Murdock ""Daredevil""",17,"['Marvel Comics', 'earth 616']","Age:37,
Power: Heightened senses,
Mbti:INTJ,
Race:Human,
Enneagram:5w6"
